no,title,url
1,Biweekly confirmed COVID-19 cases per million people,https://ourworldindata.org/grapher/biweekly-covid-cases-per-million-people
2,Biweekly confirmed COVID-19 deaths per million people,https://ourworldindata.org/grapher/biweekly-covid-deaths-per-million-people
3,Weekly new ICU admissions for COVID-19,https://ourworldindata.org/grapher/weekly-icu-admissions-covid
4,Share of people vaccinated against COVID-19,https://ourworldindata.org/explorers/coronavirus-data-explorer?zoomToSelection=true&facet=none&pickerSort=desc&pickerMetric=population&hideControls=true&Interval=Cumulative&Relative+to+Population=true&Color+by+test+positivity=false&Metric=People+vaccinated+%28by+dose%29
