hdi-rank,group,label,gii-value,gii-rank,gii-parliament,population,life-expectancy,health-expend,edu-secondary,edu-tertiary,gdp-total,gdp-capita,price-index,labor-rate,unemployment,homicide,suicide-female,suicide-male,trade,foreign-invest,intl-student,intl-tourist,fossil-fuel,co2-gdp
86,Countries,Ecuador,0.384,86,37.956,17.374,66.737,8.257,53.007,44.892,197.631,"11,375.331",124.143,68.038,3.968,5.801,3.8,10.7,46.740,0.899,-1.808,"2,535",86.885,0.200
86,Countries,Saint Lucia,0.401,90,20.690,0.183,65.150,4.546,45.954,14.067,2.824,"15,448.794",110.132,67.104,20.706,21.442,2.1,12.7,,1.938,-16.621,395,,
88,Countries,Azerbaijan,0.323,73,16.807,10.048,63.011,6.652,95.641,27.709,144.374,"14,403.850",156.891,66.502,5.509,2.201,1.0,4.3,86.044,3.130,-18.670,"2,633",98.366,0.201
88,Countries,Dominican Republic,0.455,112,24.324,10.739,64.215,6.136,56.876,59.916,197.801,"18,419.034",135.499,64.321,5.845,10.050,3.2,17.9,52.960,3.176,0.921,"6,569",86.564,0.139
90,Countries,Moldova (Republic of),0.204,46,25.743,4.043,65.149,7.013,97.290,39.821,34.639,"13,033.864",166.196,43.086,5.473,4.097,3.8,24.1,85.769,4.960,-14.803,160,88.688,0.417
91,Countries,Algeria,0.429,103,21.549,43.053,66.303,6.374,38.920,51.366,488.639,"11,349.701",151.362,41.150,11.704,1.364,1.8,4.9,52.045,0.867,-1.112,"2,657",99.978,0.232
92,Countries,Lebanon,0.411,96,4.688,6.856,66.041,8.196,54.884,,100.898,"14,717.350",130.025,47.013,6.229,2.493,2.2,4.2,63.612,4.789,1.239,"1,964",97.621,0.343
93,Countries,Fiji,0.370,84,19.608,0.890,59.659,3.501,78.683,,12.329,"13,853.429",132.297,57.643,4.101,2.308,2.5,8.8,,5.827,,870,,
94,Countries,Dominica,,,25.000,0.072,63.121,5.877,,,0.873,"12,155.559",103.870,,,26.588,,,139.787,2.412,,63,,
95,Countries,Maldives,0.369,82,4.598,0.531,69.115,9.030,47.606,31.224,10.043,"18,914.333",99.704,69.790,6.138,0.722,1.6,3.6,135.737,10.109,,"1,484",,
95,Countries,Tunisia,0.296,65,22.581,11.695,67.436,7.232,44.861,31.747,125.783,"10,755.580",155.325,46.124,16.022,,2.2,4.4,110.535,2.487,-5.663,"8,299",88.870,0.213
97,Countries,Saint Vincent and the Grenadines,,,13.043,0.111,63.636,4.487,,23.670,1.379,"12,466.235",109.666,65.868,18.881,36.541,0.9,3.9,85.203,13.565,,80,,
97,Countries,Suriname,0.436,105,31.373,0.581,62.927,6.230,60.532,,9.493,"16,328.686",294.665,51.136,7.334,5.434,10.9,36.1,90.961,1.827,,278,76.254,0.253
99,Countries,Mongolia,0.322,71,17.333,3.225,60.436,4.002,89.011,65.595,39.701,"12,309.771",195.763,59.676,6.011,6.183,3.8,23.3,125.759,17.638,-5.777,529,93.199,0.544
100,Countries,Botswana,0.465,116,10.769,2.304,54.062,6.135,90.460,24.860,40.929,"17,766.488",149.754,70.820,18.193,,5.7,18.3,74.111,1.226,-2.910,"1,623",74.688,0.222
101,Countries,Jamaica,0.396,88,19.048,2.948,66.514,5.988,66.187,27.131,28.780,"9,761.499",162.502,66.029,8.002,43.852,0.9,3.2,89.026,4.930,,"2,473",80.971,0.299
102,Countries,Jordan,0.450,109,15.385,10.102,67.972,8.119,84.157,34.415,100.068,"9,906.054",125.604,39.305,14.715,1.359,2.7,4.7,87.617,2.249,5.200,"4,150",97.608,0.322
103,Countries,Paraguay,0.446,107,16.800,7.045,66.449,6.655,50.089,,89.358,"12,684.596",143.821,72.094,4.809,7.145,6.2,12.3,69.158,1.023,,"1,181",33.703,0.096
104,Countries,Tonga,0.354,79,7.407,0.104,63.906,5.269,93.784,,0.647,"6,266.903",121.094,59.750,1.117,,2.9,5.2,98.220,3.340,,54,,
105,Countries,Libya,0.252,56,15.957,6.777,65.316,,57.501,,102.842,"15,174.165",,49.686,18.563,,2.3,8.7,118.322,0.000,,,99.111,0.372
106,Countries,Uzbekistan,0.288,62,16.400,32.982,60.879,6.414,99.905,10.076,235.021,"6,998.705",,65.060,5.917,1.136,4.6,10.3,73.017,3.947,-12.218,"5,346",97.739,0.409
107,Countries,Bolivia (Plurinational State of),0.417,98,51.807,11.513,63.106,6.443,58.790,,100.446,"8,724.476",148.318,71.813,3.498,6.218,8.9,16.9,56.397,-0.390,,"1,142",84.153,0.294
107,Countries,Indonesia,0.480,121,17.391,270.626,62.551,2.989,50.914,36.311,"3,196.683","11,812.198",151.177,67.496,4.687,0.435,2.2,5.2,37.303,2.196,-0.501,"15,810",66.089,0.172
107,Countries,Philippines,0.430,104,28.049,108.117,62.726,4.446,73.220,35.475,963.122,"8,908.176",129.613,59.621,2.150,6.465,2.3,5.2,68.607,2.030,-0.235,"7,168",62.435,0.162
110,Countries,Belize,0.415,97,11.111,0.390,65.058,5.643,78.951,24.657,2.734,"7,004.912",,65.056,6.413,37.789,2.0,9.9,115.710,6.389,,489,,
111,Countries,Samoa,0.360,81,10.000,0.197,61.821,5.483,74.942,,1.284,"6,517.034",117.556,43.685,8.359,3.146,2.2,8.7,91.123,2.037,,164,,
111,Countries,Turkmenistan,,,25.000,5.942,62.872,6.930,,7.966,86.859,"14,845.329",,64.482,3.913,,3.7,11.0,35.163,4.870,-106.856,,,0.746
113,Countries,Venezuela (Bolivarian Republic of),0.479,119,22.156,28.516,65.437,1.181,69.208,,,,"2,740.274",59.730,8.801,36.688,1.2,6.6,48.091,0.235,-0.632,427,88.378,0.335
114,Countries,South Africa,0.406,93,45.333,58.558,56.177,8.113,75.478,22.366,730.913,"12,481.813",158.928,56.017,28.181,36.399,5.1,21.7,59.205,1.316,3.339,"10,472",86.791,0.617
115,Countries,"Palestine, State of",,,,4.981,64.416,,64.245,44.254,25.869,"5,661.634",112.516,43.838,26.169,0.494,,,79.601,1.796,-11.406,606,,
116,Countries,Egypt,0.449,108,14.933,100.388,62.469,5.288,72.959,35.165,"1,180.890","11,763.254",264.375,46.413,10.760,,1.7,7.2,48.278,2.972,0.706,"11,196",97.929,0.207
117,Countries,Marshall Islands,,,6.061,0.059,57.382,16.403,92.061,,0.227,"3,894.177",,,,,,,125.728,4.407,-17.444,7,,
117,Countries,Viet Nam,0.296,65,26.721,96.462,65.742,5.532,69.779,28.545,775.669,"8,041.179",163.517,77.447,2.013,,3.4,10.8,210.400,6.321,-3.339,"15,498",69.822,0.331
119,Countries,Gabon,0.525,128,17.949,2.173,58.819,2.781,58.820,,32.306,"14,869.791",122.628,52.895,20.004,,4.3,15.0,72.939,5.016,,,22.787,0.103
120,Countries,Kyrgyzstan,0.369,82,19.167,6.416,64.934,6.186,98.420,41.267,33.919,"5,253.097",155.676,59.831,6.330,2.189,3.7,14.8,103.085,1.744,1.469,423,75.476,0.432
121,Countries,Morocco,0.454,111,18.447,36.472,63.825,5.245,32.396,35.936,278.452,"7,514.721",111.068,45.306,9.019,1.416,3.6,2.5,87.463,1.347,-3.074,"12,289",88.469,0.219
122,Countries,Guyana,0.462,115,31.884,0.783,58.366,4.946,64.180,,7.595,"9,702.579",116.191,56.183,11.852,14.249,14.2,46.6,79.082,30.433,-17.026,287,,
123,Countries,Iraq,0.577,146,25.228,39.310,63.379,4.167,48.020,,427.737,"10,881.172",119.857,42.997,12.822,10.070,3.4,4.7,76.374,-1.286,,892,95.984,0.242
124,Countries,El Salvador,0.383,85,30.952,6.454,65.534,7.228,42.819,29.372,56.636,"8,775.987",111.228,59.097,4.110,52.019,4.3,24.8,77.179,2.682,-2.085,"1,677",48.430,0.126
125,Countries,Tajikistan,0.314,70,20.000,9.321,61.844,7.229,94.529,31.257,31.503,"3,379.749",148.568,42.021,11.017,,1.7,5.0,56.643,2.622,-6.602,"1,035",45.984,0.230
126,Countries,Cabo Verde,0.397,89,23.611,0.550,64.619,5.165,30.098,23.617,3.944,"7,171.839",110.502,60.455,12.249,6.804,7.7,24.1,116.215,5.313,-26.868,710,,
127,Countries,Guatemala,0.479,119,19.375,17.581,62.907,5.814,38.113,21.783,143.418,"8,637.555",142.921,62.350,2.459,22.501,1.7,4.4,45.866,1.260,,"1,781",37.379,0.128
128,Countries,Nicaragua,0.428,101,44.565,6.546,65.778,8.645,47.770,,35.392,"5,407.105",162.740,66.405,6.837,7.186,5.0,19.2,95.076,2.750,,"1,256",40.695,0.158
129,Countries,Bhutan,0.421,99,15.278,0.763,63.235,3.187,27.621,15.555,8.559,"11,345.445",167.182,66.714,2.342,1.193,8.9,13.8,86.712,0.108,-32.721,274,,
130,Countries,Namibia,0.440,106,36.957,2.495,56.770,8.551,41.199,22.888,24.040,"9,637.181",157.968,59.534,20.273,,4.9,19.4,83.476,-0.101,-3.067,"1,499",66.719,0.171
131,Countries,India,0.488,123,13.486,"1,366.418",60.521,3.535,39.336,28.061,"9,229.177","6,754.287",180.436,49.293,5.355,3.079,14.5,18.5,40.019,1.760,-0.855,"17,423",73.577,0.256
132,Countries,Honduras,0.423,100,21.094,9.746,63.019,7.858,30.980,26.164,55.826,"5,727.974",150.344,68.771,5.386,38.926,1.7,5.3,96.613,3.806,-1.425,851,52.479,0.229
133,Countries,Bangladesh,0.537,133,20.630,163.046,64.534,2.274,43.980,20.565,775.077,"4,753.726",179.680,58.993,4.190,2.373,6.7,5.5,36.759,0.528,-1.166,"1,026",73.769,0.138
134,Countries,Kiribati,,,6.522,0.118,53.537,10.758,0.000,,0.268,"2,275.171",99.547,,,,5.4,25.9,98.392,-0.582,,7,,
135,Countries,Sao Tome and Principe,0.537,133,14.545,0.215,62.281,6.230,40.802,13.385,0.852,"3,963.784",185.090,57.789,13.369,,2.1,4.2,,5.612,,33,,
136,Countries,Micronesia (Federated States of),,,0.000,0.114,56.676,12.352,0.000,,0.391,"3,468.568",112.097,,,,6.2,16.2,100.852,6.330,,19,,
137,Countries,Lao People's Democratic Republic,0.459,113,27.517,7.169,60.707,2.528,40.547,14.967,56.111,"7,826.389",135.866,78.474,0.626,,6.1,12.9,75.092,7.350,-4.122,"3,770",,
138,Countries,Eswatini (Kingdom of),0.567,143,12.121,1.148,50.611,6.930,33.820,,9.975,"8,688.101",162.597,52.505,22.083,11.558,9.6,25.4,84.413,2.905,-34.430,782,,
138,Countries,Ghana,0.538,135,13.091,30.418,58.220,3.262,63.080,15.692,164.641,"5,412.628",268.361,67.798,4.331,2.091,2.9,15.8,71.378,4.559,-0.370,897,52.543,0.119
140,Countries,Vanuatu,,,0.000,0.300,57.599,3.317,0.000,,0.943,"3,143.628",117.130,69.875,4.385,,2.7,8.1,97.947,4.148,,116,,
141,Countries,Timor-Leste,,,38.462,1.293,61.650,3.882,0.000,,4.039,"3,123.109",145.376,67.338,4.548,4.096,3.7,9.0,63.007,4.456,,75,,
142,Countries,Nepal,0.452,110,33.533,28.609,61.507,5.553,36.212,12.411,97.750,"3,416.791",188.730,83.805,1.407,2.300,8.0,11.4,54.926,0.234,-7.662,"1,173",15.483,0.143
143,Countries,Kenya,0.518,126,23.261,52.574,58.253,4.803,35.200,11.465,227.639,"4,329.871",180.515,74.696,2.642,4.929,2.1,9.7,33.401,1.852,-1.730,"1,364",17.380,0.112
144,Countries,Cambodia,0.474,117,19.251,16.487,61.204,5.919,22.420,13.688,72.356,"4,388.801",127.633,82.313,0.677,,3.2,9.0,123.557,13.681,,"6,201",30.629,0.188
145,Countries,Equatorial Guinea,,,19.186,1.356,57.211,3.107,,,25.164,"18,558.004",124.347,61.967,6.433,,10.8,31.3,107.381,2.981,,,,
146,Countries,Zambia,0.539,137,17.964,17.861,55.082,4.470,44.440,,62.147,"3,479.492",212.309,74.615,11.425,5.372,6.2,17.5,70.035,2.087,,"1,072",10.563,0.098
147,Countries,Myanmar,0.478,118,11.568,54.045,60.852,4.659,25.833,18.816,277.910,"5,142.154",168.183,61.665,1.577,2.258,9.8,6.3,60.689,1.695,-1.097,"3,551",44.290,0.104
148,Countries,Angola,0.536,132,30.000,31.825,56.746,2.792,30.232,9.336,211.763,"6,653.908",,77.493,6.886,,4.6,14.0,66.378,-4.331,,218,48.306,0.102
149,Countries,Congo,0.570,144,13.636,5.381,57.018,2.930,48.817,12.667,17.745,"3,298.068",124.740,69.448,9.472,,5.0,13.9,112.251,36.982,-23.396,156,40.481,0.111
150,Countries,Zimbabwe,0.527,129,34.571,14.645,53.557,6.636,64.935,10.007,41.534,"2,835.949",105.512,83.099,4.954,,11.1,29.1,50.005,3.063,-12.133,"2,580",29.096,0.271
151,Countries,Solomon Islands,,,4.082,0.670,52.729,4.685,,,1.586,"2,367.404",133.062,83.836,0.576,,3.2,8.5,98.394,2.115,,28,,
151,Countries,Syrian Arab Republic,0.482,122,13.200,17.070,63.889,,40.960,40.051,,,,44.114,8.370,0.879,1.1,3.8,,,,"5,070",97.792,0.789
153,Countries,Cameroon,0.560,141,29.286,25.876,55.434,4.671,37.274,12.760,94.518,"3,652.687",118.649,76.073,3.380,1.388,12.5,26.9,40.554,1.977,-7.678,"1,081",38.318,0.077
154,Countries,Pakistan,0.538,135,20.000,216.565,57.200,2.899,37.319,8.958,"1,015.796","4,690.485",182.320,52.573,4.453,3.883,3.1,3.0,30.438,0.797,,966,61.585,0.189
155,Countries,Papua New Guinea,0.725,161,0.000,8.776,56.358,2.469,12.527,,38.506,"4,387.602",155.992,47.192,2.459,,3.8,10.2,,4.846,,140,,
156,Countries,Comoros,,,6.061,0.851,60.340,7.384,,8.995,2.622,"3,081.384",,43.281,4.336,,5.4,17.6,43.095,0.582,-78.828,36,,
,Countries,Low human development,,,,,,,,,,,,,,,,,,,,,,
157,Countries,Mauritania,0.634,151,20.261,4.526,62.169,4.403,18.954,4.999,23.520,"5,197.029",135.019,45.884,9.548,,3.6,12.1,94.218,1.004,-22.136,,,
158,Countries,Benin,0.612,148,7.229,11.801,56.644,3.719,26.592,12.274,38.794,"3,287.310",110.709,70.868,2.232,1.127,9.6,22.6,63.681,0.987,1.244,295,36.725,0.299
159,Countries,Uganda,0.535,131,34.858,44.270,57.755,6.188,32.203,4.837,96.563,"2,181.248",173.871,70.337,1.843,10.524,18.7,21.2,46.019,3.682,6.940,"1,402",,
160,Countries,Rwanda,0.402,92,55.660,12.627,59.832,6.572,13.137,6.726,28.110,"2,226.221",151.089,83.655,1.030,2.577,6.0,16.9,53.661,3.132,-4.261,932,,
161,Countries,Nigeria,,,4.113,200.964,56.039,3.756,,,"1,032.048","5,135.500",267.512,52.907,8.096,34.524,17.1,17.5,33.008,0.502,,"5,265",18.877,0.086
