hdi-rank,group,label,gii-value,gii-rank,gii-parliament,population,life-expectancy,health-expend,edu-secondary,edu-tertiary,gdp-total,gdp-capita,price-index,labor-rate,unemployment,homicide,suicide-female,suicide-male,trade,foreign-invest,intl-student,intl-tourist,fossil-fuel,co2-gdp
,Human development groups,High human development,0.340,,24.460,"2,957.010",66.462,5.733,72.047,45.728,"41,848.520","14,568.821",,64.776,5.957,6.328,5.5,8.9,44.799,1.682,-1.316,"302,142",84.788,0.344
,Human development groups,Medium human development,0.501,,20.352,"2,199.266",60.400,3.684,39.529,23.726,"13,535.529","6,204.522",,53.226,5.182,3.690,10.9,14.6,46.101,1.601,-1.194,"70,759",68.918,0.227
,Human development groups,Low human development,0.592,,22.160,921.362,56.825,4.566,22.680,7.793,"2,522.061","2,878.847",,64.923,5.846,,9.0,16.7,44.199,1.829,-3.403,"22,869",,
,Regions,Arab States,0.518,,17.991,422.790,63.085,4.852,52.498,38.043,"5,955.919","16,487.488",,47.991,10.887,,2.8,6.9,86.028,1.208,-0.805,"109,682",95.478,0.286
,Regions,East Asia and the Pacific,0.324,,20.175,"2,135.955",66.919,4.900,72.386,44.252,"30,742.249","14,847.903",,67.947,3.908,0.996,6.8,8.1,49.679,1.913,-1.355,"195,977",,
,Regions,Europe and Central Asia,0.256,,23.127,248.799,65.083,4.932,83.721,,"4,483.062","18,336.828",,56.959,9.896,3.142,4.1,18.3,73.074,2.155,-5.794,"107,057",86.966,0.295
,Regions,Latin America and the Caribbean,0.389,,31.425,643.474,65.917,8.017,60.275,51.970,"9,537.348","15,808.343",,64.127,8.058,22.346,3.0,10.6,48.456,2.901,-0.062,"107,075",74.483,0.183
,Regions,South Asia,0.505,,17.523,"1,918.211",60.722,4.073,41.365,25.691,"12,677.988","6,623.033",,50.813,5.455,3.135,11.6,14.9,40.640,1.525,-1.043,"31,975",76.914,0.260
,Regions,Sub-Saharan Africa,0.570,,24.049,"1,048.706",56.675,5.084,32.753,9.332,"3,966.628","3,840.129",,67.947,6.403,,8.6,17.4,51.173,1.813,-2.107,"45,441",39.245,0.250
,Others,Least developed countries,0.559,,22.808,"1,033.389",58.547,4.116,28.420,11.286,"2,927.334","3,009.538",,67.233,4.822,,6.6,13.3,53.476,1.859,-2.447,"33,222",,
,Others,Small island developing states,0.458,,25.070,66.179,62.810,5.900,59.506,,"1,074.387","19,769.910",,61.303,5.675,8.923,4.3,14.5,203.132,17.666,2.561,"51,408",,
,Others,Organisation for Economic Co-operation and Development,0.205,,30.833,"1,358.056",68.822,12.508,85.406,72.403,"60,774.798","44,701.447",,60.379,5.486,5.574,5.3,16.5,55.825,1.313,4.527,"791,285",79.623,0.227
,Others,Developing countries,0.463,,22.710,"6,417.935",62.969,5.369,57.566,32.913,"67,363.195","10,845.340",,60.780,5.799,6.189,7.7,12.2,52.443,1.979,-1.220,"597,206",80.505,0.307
,World,World,0.436,,24.640,"7,713.468",63.883,9.882,64.504,38.660,"127,400.608","16,980.348",,60.723,5.628,5.563,7.4,13.7,55.578,1.690,0.420,"1,393,331",80.579,0.262
