sequence,name,region,country,city,official-link,established,student-number,faculty-number,campus-size,map-iframe
32,Savannah State University,North America,United States of America,,,,,,,
33,Westminster College,North America,United States of America,,,,,,,
34,Kennesaw State University,North America,United States of America,,,,,,,
35,Ohio Northern University,North America,United States of America,,,,,,,
36,Portland State University,North America,United States of America,,,,,,,
37,Georgia State University,North America,United States of America,,,,,,,
38,Northern Arizona University,North America,United States of America,,,,,,,
39,State University of New York at Oswego,North America,United States of America,,,,,,,
40,University of Oregon,North America,United States of America,,,,,,,
41,University of Central Oklahoma,North America,United States of America,,,,,,,
42,University of Hawai'I at Hilo,North America,United States of America,,,,,,,
43,University of Nebraska at Kearney,North America,United States of America,,,,,,,
66,York University,North America,Canada,,,,,,,
67,Concordia University,North America,Canada,,,,,,,
68,Ecole de Technologie Superieure,North America,Canada,,,,,,,
69,Universite de Montreal,North America,Canada,,,,,,,
45,Federal University of Minas Gerais,South America,Brazil,,,,,,,
58,Universidad ECOTEC,South America,Ecuador,,,,,,,
57,United Arab Emirates University,Middle East,United Arab Emirates,,,,,,,
70,Kuwait University,Middle East,Kuwait,,,,,,,
81,Queensland University of Technology,Oceania,Australia,,,,,,,
82,University of South Australia,Oceania,Australia,,,,,,,
83,University of New South Wales,Oceania,Australia,,,,,,,
84,Deakin University,Oceania,Australia,,,,,,,
