sequence,name,region,country,city,official-link,established,student-number,faculty-number,campus-size,map-iframe,tot-rank,tot-score,tot-international-students-ratio,tot-international-faculty-ratio,tot-faculty-student ratio,tot-citations-per-faculty,tot-academic-reputation,tot-employer-reputation,cse-rank,cse-overall-score,cse-h-index-citations,cse-citations-per paper,cse-academic-reputation,cse-employer-reputation,hum-rank,hum-overall-score,hum-h-index-citations,hum-citations-per-paper,hum-academic-reputation,hum-employer-reputation
64,Polytechnic University of Milan,Europe,Italy,,,,,,,,142,52.5,55.2,40.9,5.1,59.3,66.1,81,=44,75.4,82,76.9,63.5,87.2,=44,75.4,82,76.9,63.5,87.2
71,Hacettepe University,Europe,Turkey,,,,,,,,801-1000,-,2.8,1.3,8.1,6.8,15.6,13.5,551-600,,,,,,551-600,,,,,
72,Sabanci University,Europe,Turkey,,,,,,,,541-550,-,16,30.6,39.4,18,15.6,20,351-400,,,,,,351-400,,,,,
73,Audencia Business School,Europe,France,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,CentraleSupelec,Europe,France,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,EDHEC Business School,Europe,France,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,ISC Paris,Europe,France,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,KEDGE Business School,Europe,France,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Rennes School of Business,Europe,France,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,University Paris 8,Europe,France,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Hanken School of Economics,Europe,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,University of Malaya,Asia,Malaysia,,,,,,,,65,69.8,42.6,43.6,76.5,49.6,76.9,91.7,78,70.3,83.9,88.9,60.5,67.4,78,70.3,83.9,88.9,60.5,67.4
46,Universiti Brunei Darussalam,Asia,Brunei,,,,,,,,250,38.6,65.6,100,96.8,7.6,20,12.3,,,,,,,,,,,,
55,Nanyang Technological University,Asia,Singapore,,https://www.ntu.edu.sg/,1981.0,8383.0,31687.0,200.0,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3988.713638376386!2d103.68094601744389!3d1.348309900000004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x31da0f0a99014463%3A0xb8bb0800c52d8219!2z64Kc7JaR6riw7Iig64yA7ZWZ6rWQ!5e0!3m2!1sko!2skr!4v1644287551987!5m2!1sko!2skr,12,90.8,69.6,100,89.5,95.5,91.1,85,12,84.8,94.1,87.5,77.1,89.2,12,84.8,94.1,87.5,77.1,89.2
56,Singapore University of Technology and Design,Asia,Singapore,,,,,,,,,,,,,,,,351-400,,82.4,88.8,,,351-400,,82.4,88.8,,
65,Telkom University,Asia,Indonesia,,,,,,,,1001-1200,-,2.4,4.8,24,1.3,5,6.2,551-600,,,,,,551-600,,,,,
85,The Chinese University of Hong Kong,Asia,Hong Kong,,http://www.cuhk.edu.hk/,1963.0,1697.0,20608.0,137.0,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d53560939.52028516!2d61.69925325!3d34.979152!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3404089e5d1181af%3A0x3ce53c544b7ea29e!2z7ZmN7L2pIOykkeusuCDrjIDtlZk!5e0!3m2!1sko!2skr!4v1644287805661!5m2!1sko!2skr,39,80.3,91.8,100,62.6,83.2,88.8,56.7,31,78.1,91.7,93.6,71.9,71.7,31,78.1,91.7,93.6,71.9,71.7
86,Hang Seng University of Hong Kong,Asia,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,The Education University of Hong Kong,Asia,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,The Hong Kong Polytechnic University,Asia,Hong Kong,,,,,,,,66,69.1,81.3,100,79.2,63.8,67.1,42.9,=120,67.2,86.7,88,53.4,65.5,=120,67.2,86.7,88,53.4,65.5
28,North Carolina State University,North America,United States of America,,,,,,,,=300,34.7,16.5,51.5,14.3,68.7,30.4,23.8,251-300,,83.7,85.2,,,251-300,,83.7,85.2,,
29,Arizona State University,North America,United States of America,Tempe,https://asu.edu/,1885.0,4704.0,74304.0,618.0,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1706353.750853228!2d-112.63598984999999!3d33.3522075!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x872b08db3b33540f%3A0x666e717f473c3033!2z7JWg66as7KGw64KYIOyjvOumveuMgO2VmQ!5e0!3m2!1sko!2skr!4v1644287858481!5m2!1sko!2skr,=216,41.8,39.2,58.4,9.1,63.4,45.3,41.4,151-200,,87.4,84.8,,,151-200,,87.4,84.8,,
30,Virginia Polytechnic Institute and State University,North America,United States of America,,,,,,,,346,31.6,24.5,56,24.6,41.1,28.5,28.9,151-200,,85.5,86.2,,,151-200,,85.5,86.2,,
31,Angelo State University,North America,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Savannah State University,North America,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Westminster College,North America,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Kennesaw State University,North America,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ohio Northern University,North America,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Portland State University,North America,United States of America,,,,,,,,1001-1200,-,8.1,1,9.8,12.9,4.7,3.8,,,,,,,,,,,,
37,Georgia State University,North America,United States of America,,,,,,,,751-800,-,6.6,1.8,5.1,35.2,13.1,20.9,351-400,,,,,,351-400,,,,,
38,Northern Arizona University,North America,United States of America,,,,,,,,1001-1200,-,5,1.3,5.9,12.4,6.8,6.1,,,,,,,,,,,,
39,State University of New York at Oswego,North America,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,University of Oregon,North America,United States of America,,,,,,,,651-700,-,10.8,2.7,18.2,27,17,12.5,551-600,,,,,,551-600,,,,,
41,University of Central Oklahoma,North America,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,University of Hawai'I at Hilo,North America,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,University of Nebraska at Kearney,North America,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,York University,North America,Canada,,,,,,,,=494,24.1,81.9,24.2,8.1,22.2,22.4,36.4,251-300,,,,,,251-300,,,,,
67,Concordia University,North America,Canada,,,,,,,,521-530,-,92.6,72.2,3.5,27.7,14.5,26.1,251-300,,82.4,,,,251-300,,82.4,,,
68,Ecole de Technologie Superieure,North America,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Universite de Montreal,North America,Canada,,,,,,,,111,57.3,53.2,88.3,74.1,36.1,56.6,52.5,61,73.3,88.2,96.1,61,70.9,61,73.3,88.2,96.1,61,70.9
45,Federal University of Minas Gerais,South America,Brazil,,,,,,,,651-700,-,2.2,3,14.4,9,30.1,9.6,201-250,,,,,,201-250,,,,,
58,Universidad ECOTEC,South America,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,United Arab Emirates University,Middle East,United Arab Emirates,,,,,,,,=288,35.4,40.1,100,67.5,9.7,25.2,27.7,201-250,,,,,,201-250,,,,,
70,Kuwait University,Middle East,Kuwait,,,,,,,,1001-1200,-,28.4,19.3,5.1,3.4,11.8,6.9,501-550,,,,,,501-550,,,,,
81,Queensland University of Technology,Oceania,Australia,,,,,,,,213,42.1,43.3,98.3,8.7,59,42,44.8,=132,66.4,80.8,85.6,57.1,62.1,=132,66.4,80.8,85.6,57.1,62.1
82,University of South Australia,Oceania,Australia,,,,,,,,=326,32.8,70.4,100,20.6,45.6,23.1,16.7,251-300,,,,,,251-300,,,,,
83,University of New South Wales,Oceania,Australia,,,,,,,,43,77.7,99.8,100,15.2,93.5,90.4,94.4,=59,73.4,87,83.4,61.9,76.8,=59,73.4,87,83.4,61.9,76.8
84,Deakin University,Oceania,Australia,,,,,,,,283,36.1,72.4,98.7,4.4,57.1,28.1,38,201-250,,,85.4,,,201-250,,,85.4,,
